name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"SpongeBob SquarePants",5,"Legendary Creature - Human Wizard",BGRUW,"sld","1932",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Five-Color Domain: Payoff;Strict Humans: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",-1,false,false,"Caleb Meurer"
"Generous Plunderer",2,"Creature - Human Rogue",R,"big","11",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Attack: Enabler;Strict Humans: Enabler;Strict Tokens: Enabler","",125383,false,false,"Alexander Mokhov"
"Weapons Manufacturing",2,"Enchantment",R,"eoe","168",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Blink: Payoff;Strict Damage: Enabler;Strict Enchantments: Enabler;Strict Noncreature: Enabler;Strict Sacrifice: Payoff;Strict Tokens: Enabler","",142949,false,false,"Marco Gorlei"
"Lightning Strike",2,"Instant",R,"ths","127",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler","",50572,false,false,"Adam Paquette"
"Two-Handed Axe",3,"Artifact - Equipment",R,"clb","203",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Attack: Enabler;Strict Combat Damage: Glue;Strict Equipment: Enabler;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",-1,false,false,"Milivoj Ćeran"
"Blazing Firesinger",3,"Creature - Dwarf Bard",R,"sos","109",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Ramp: Enabler","",149717,false,false,"Ashly Lovett"
"Emberwilde Captain",4,"Creature - Djinn Pirate",R,"cmr","175",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",85132,false,false,"Tyler Walpole"
"Fanatic of Mogis",4,"Creature - Minotaur Shaman",R,"ths","121",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",50464,false,false,"Matt Stewart"
"Inferno Titan",6,"Creature - Giant",R,"m11","146",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Attack: Enabler;Strict Blink: Payoff;Strict Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue","",37428,false,false,"Kev Walker"
"Feldon of the Third Path",3,"Legendary Creature - Human Artificer",R,"c14","35",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Humans: Enabler;Strict Tokens: Enabler","",55107,false,false,"Chase Stone"
"Twinflame Tyrant",5,"Creature - Dragon",R,"fdn","97",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Damage: Glue","",133762,false,false,"Xabi Gaztelua"
"Terror of the Peaks",5,"Creature - Dragon",R,"m21","164",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Power Matters: Payoff","",81555,false,false,"Andrey Kuzinskiy"
"Unholy Heat",1,"Instant",R,"mh2","145",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Graveyard Types: Payoff;Strict Noncreature: Enabler","",90667,false,false,"Kari Christensen"
"Pyrogoyf",4,"Creature - Lhurgoyf",R,"m3c","111",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Damage: Enabler;Strict Graveyard Types: Payoff;Strict Power Matters: Enabler;Strict Power Matters: Payoff","",127421,false,false,"Xabi Gaztelua"
"Fury",5,"Creature - Elemental Incarnation",R,"mh2","126",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Damage: Enabler","",90629,false,false,"Raoul Vitale"
"Combustible Gearhulk",6,"Artifact Creature - Construct",R,"kld","112",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue;Strict Reanimator: Enabler","",61989,false,false,"Daarken"
"Ancient Copper Dragon",6,"Creature - Elder Dragon",R,"clb","161",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Combat Damage: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue;Strict Tokens: Enabler","",100344,false,false,"Antonio José Manzanedo"
"Dragon's Rage Channeler",1,"Creature - Human Shaman",R,"mh2","121",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Graveyard Types: Payoff;Strict Humans: Enabler;Strict Noncreature: Payoff","",90615,false,false,"Martina Fačková"
"Professional Face-Breaker",3,"Creature - Human Warrior",R,"snc","116",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Dies: Enabler;Strict Humans: Enabler;Strict Sacrifice: Enabler;Strict Tokens: Enabler","",98451,false,false,"Dan Murayama Scott"
"Trigger Happy",2,"Instant",R,"unf","125",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",-1,false,false,"Jamroz Gary"
"Orthion, Hero of Lavabrink",4,"Legendary Creature - Human Soldier",R,"mom","334",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Humans: Enabler;Strict Tokens: Enabler","",109756,false,false,"Aaron Miller"
"Restoration Angel",4,"Creature - Angel",W,"avr","32",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Enabler;Strict Blink: Payoff","",44009,false,false,"Johannes Voss"
"Thalia, Guardian of Thraben",2,"Legendary Creature - Human Soldier",W,"dka","24",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Humans: Enabler;Strict Taxes: Enabler","",43469,false,false,"Jana Schirmer & Johannes Voss"
"Etali, Primal Storm",6,"Legendary Creature - Elder Dinosaur",R,"rix","100",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",66653,false,false,"Raymond Swanland"
"Massacre Wurm",6,"Creature - Phyrexian Wurm",B,"mbs","46",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue","",39315,false,false,"Jason Chan"
"Memorial Vault",4,"Artifact",R,"eoe","145",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Dies: Enabler;Strict Noncreature: Enabler;Strict Sacrifice: Enabler","",142903,false,false,"Javier Charro"
"Flesh Duplicate",2,"Creature - Shapeshifter Rebel",U,"who","44",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",-1,false,false,"Kekai Kotaki"
"Faerie Mastermind",2,"Creature - Faerie Rogue",U,"mom","58",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler","",109930,false,false,"Joshua Raphael"
"Treasure Cruise",8,"Sorcery",U,"ktk","59",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",54300,false,false,"Cynthia Sheppard"
"Regal Behemoth",6,"Creature - Dinosaur",G,"cn2","69",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Enabler;Strict Ramp: Glue","",-1,false,false,"Jakub Kasper"
"Cryptic Command",4,"Instant",U,"lrw","56",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",28499,false,false,"Wayne England"
"Kitsa, Otterball Elite",2,"Legendary Creature - Otter Wizard",U,"blb","54",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Payoff;Strict Reanimator: Enabler","",129353,false,false,"Zoltan Boros"
"Mulldrifter",5,"Creature - Elemental",U,"lrw","76",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler","",28245,false,false,"Eric Fortune"
"Etherium Sculptor",2,"Artifact Creature - Vedalken Artificer",U,"ala","42",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Artifacts: Payoff","",31213,false,false,"Steven Belledin"
"Time Warp",5,"Sorcery",U,"sta","22",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",89101,false,false,"Dominik Mayer"
"Gifts Ungiven",4,"Instant",U,"chk","62",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler","",21335,false,false,"D. Alexander Gregory"
"Enduring Curiosity",4,"Enchantment Creature - Cat Glimmer",U,"dsk","51",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Combat Damage: Enabler;Strict Dies: Payoff;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",130233,false,false,"Julie Dillon"
"Fact or Fiction",4,"Instant",U,"inv","57",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler","",14505,false,false,"Terese Nielsen"
"Mana Vault",1,"Artifact",,"lea","259",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Noncreature: Enabler;Strict Ramp: Enabler","",-1,false,false,"Mark Tedin"
"Smirking Spelljacker",5,"Creature - Djinn Wizard Rogue",U,"otc","16",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Attack: Enabler;Strict Blink: Payoff;Strict Opponent Cards: Enabler","",125163,false,false,"Borja Pindado"
"Ketria Triome",0,"Land - Forest Island Mountain",,"iko","250",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Five-Color Domain: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",80509,false,false,"Sam Burley"
"Cryogen Relic",2,"Artifact",U,"eoe","52",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Draw: Enabler;Strict Noncreature: Enabler","",142717,false,false,"Eelis Kyttanen"
"Jace, the Mind Sculptor",4,"Legendary Planeswalker - Jace",U,"wwk","31",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",35591,false,false,"Jason Chan"
"Braids, Conjurer Adept",4,"Legendary Creature - Human Wizard",U,"plc","36",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Humans: Enabler","",26345,false,false,"Zoltan Boros & Gabor Szikszai"
"Aminatou's Augury",8,"Sorcery",U,"c18","6",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Landfall: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Seb McKinnon"
"Starfield Vocalist",4,"Creature - Human Bard",U,"eoe","78",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Humans: Enabler","",142769,false,false,"Nathaniel Himawan"
"Displacer Kitten",4,"Creature - Cat Beast",U,"clb","63",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Enabler;Strict Noncreature: Payoff","",100124,false,false,"Campbell White"
"Miscalculation",2,"Instant",U,"ulg","36",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler","",12607,false,false,"Jeff Laubenstein"
"Kappa Cannoneer",6,"Artifact Creature - Turtle Warrior",U,"nec","14",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Blink: Payoff;Strict Counters: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",97776,false,false,"Jesper Ejsing"
"Three Steps Ahead",1,"Instant",U,"otj","75",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Artifacts: Glue;Strict Discard: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler;Strict Tokens: Enabler","",124061,false,false,"Francisco Miyara"
"Tandem Lookout",3,"Creature - Human Scout",U,"avr","80",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Humans: Enabler","",44131,false,false,"Kev Walker"
"Thundertrap Trainer",2,"Creature - Otter Wizard",U,"blb","78",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff","",129401,false,false,"Matt Stewart"
"Spellseeker",3,"Creature - Human Wizard",U,"bbd","41",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Humans: Enabler","",68810,false,false,"Igor Kieryluk"
"Psionic Blast",3,"Instant",U,"lea","74",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler","",-1,false,false,"Douglas Shuler"
"Brazen Borrower",3,"Creature - Faerie Rogue",U,"eld","39",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction","",78180,false,false,"Eric Deschamps"
"Aboleth Spawn",3,"Creature - Fish Horror",U,"clb","662",rare,null,Not Owned,Non-foil,mainboard,false,,,"","",101420,false,false,"Sam Burley"
"Shelldock Isle",0,"Land",,"lrw","272",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value","",28707,false,false,"Mark Tedin"
"Kiora, the Rising Tide",3,"Legendary Creature - Merfolk Noble",U,"fdn","45",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Blink: Payoff;Strict Discard: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Reanimator: Enabler;Strict Tokens: Enabler","",133658,false,false,"Julian Kok Joon Wen"
"Quistis Trepe",3,"Legendary Creature - Human Wizard",U,"fin","66",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Graveyard Cast: Payoff;Strict Humans: Enabler","",141059,false,false,"Touge369"
"Hypnotic Sprite",2,"Creature - Faerie",U,"eld","49",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction","",78204,false,false,"Irina Nordsol"
"Professor Hulk",6,"Legendary Creature - Gamma Scientist Hero",U,"msc","37",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Combat Damage: Enabler;Strict Draw: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Ramp: Glue","",150513,false,false,"Leroy Steinmann"
"Noxious Revival",1,"Instant",G,"nph","118",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",39922,false,false,"Matt Stewart"
"Ledger Shredder",2,"Creature - Bird Advisor",U,"snc","46",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler;Strict Discard: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Reanimator: Enabler","",98311,false,false,"Mila Pesic"
"Repulse",3,"Instant",U,"inv","70",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",14553,false,false,"Aaron Boyd"
"The Reality Chip",2,"Legendary Artifact Creature - Equipment Jellyfish",U,"neo","74",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Equipment: Enabler","",97068,false,false,"Campbell White"
"Triarch Praetorian",2,"Artifact Creature - Necron",B,"40k","66",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Blink: Payoff;Strict Draw: Enabler","",108604,false,false,"Lucas Terryn"
"Snap",2,"Instant",U,"ulg","43",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",12621,false,false,"Mike Raabe"
"Silver Myr",2,"Artifact Creature - Myr",,"mrd","241",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Artifacts: Enabler;Strict Ramp: Enabler","",19985,false,false,"Kev Walker"
"Encore Electromancer",2,"Creature - Human Wizard",U,"sld","808",mythic,null,Not Owned,Foil,mainboard,false,,,"Strict Blink: Payoff;Strict Graveyard Cast: Payoff;Strict Humans: Enabler","",-1,false,false,"Raita Kazama"
"The Key to the Vault",2,"Legendary Artifact - Equipment",U,"otj","54",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Combat Damage: Enabler;Strict Equipment: Enabler;Strict Noncreature: Enabler","",124019,false,false,"Leon Tukker"
"Remand",2,"Instant",U,"rav","63",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",23174,false,false,"Mark A. Nelson"
"Essence Capture",2,"Instant",U,"rna","37",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Counters: Enabler;Strict Noncreature: Enabler","",71074,false,false,"Mathias Kollros"
"Consult the Star Charts",2,"Instant",U,"eoe","51",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler","",142715,false,false,"Antonio José Manzanedo"
"Faerie Seer",1,"Creature - Faerie Wizard",U,"j25","106",common,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff","",-1,false,false,"Eelis Kyttanen"
"Serum Visions",1,"Sorcery",U,"5dn","36",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",20956,false,false,"Ben Thompson"
"Ponder",1,"Sorcery",U,"lrw","79",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",28339,false,false,"Mark Tedin"
"Brainstorm",1,"Instant",U,"ice","61",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",24401,false,false,"Christopher Rush"
"Monstrosity of the Lake",5,"Legendary Creature - Kraken",U,"ltc","22",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Discard: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Reanimator: Enabler","",113076,false,false,"Ben Wootten"
"Hide on the Ceiling",1,"Instant",U,"spm","32",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Noncreature: Enabler","",153299,false,false,"Fariba Khamseh"
"Gitaxian Probe",1,"Sorcery",U,"nph","35",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",39976,false,false,"Chippy"
"Into the Flood Maw",1,"Instant",U,"blb","52",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",129349,false,false,"Danny Schwartz"
"Preordain",1,"Sorcery",U,"m11","70",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler","",37388,false,false,"Svetlin Velinov"
"Sublime Epiphany",6,"Instant",U,"m21","74",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Draw: Enabler;Strict Noncreature: Enabler;Strict Ramp: Glue;Strict Tokens: Enabler","",81375,false,false,"Lindsey Look"
"Venser, Shaper Savant",4,"Legendary Creature - Human Wizard",U,"fut","46",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Blink: Payoff;Strict Humans: Enabler","",26594,false,false,"Aleksi Briclot"
"Living Death",5,"Sorcery",B,"tmp","142",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Noncreature: Enabler","",9795,false,false,"Charles Gillespie"
"Bumi, Unleashed",5,"Legendary Creature - Human Noble Ally",GR,"tla","211",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Glue;Strict Blink: Payoff;Strict Combat Damage: Enabler;Strict Humans: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",144914,false,false,"Toni Infante"
"Dispelling Exhale",2,"Instant",U,"tdm","41",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",139029,false,false,"David Auden Nash"
"Curiosity",1,"Enchantment - Aura",U,"exo","29",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",10593,false,false,"Val Mayerik"
"Spell Pierce",1,"Instant",U,"zen","67",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",34442,false,false,"Vance Kovacs"
"Mana Leak",2,"Instant",U,"sth","36",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",10307,false,false,"Christopher Rush"
"Aether Spellbomb",1,"Artifact",,"mrd","141",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Artifacts: Enabler;Strict Draw: Enabler;Strict Noncreature: Enabler","",19871,false,false,"Jim Nelson"
"Serum Visionary",3,"Creature - Vedalken Wizard",U,"mh3","69",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Blink: Payoff;Strict Draw: Enabler","",126155,false,false,"Warren Mahy"
"Luminarch Aspirant",2,"Creature - Human Cleric",W,"znr","24",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Humans: Enabler","",82987,false,false,"Mads Ahm"
"Lórien Revealed",5,"Sorcery",U,"ltr","60",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler","",112030,false,false,"Randy Gallegos"
"Thought Monitor",7,"Artifact Creature - Construct",U,"mh2","71",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Artifacts: Payoff;Strict Blink: Payoff;Strict Draw: Enabler","",90515,false,false,"Martina Pilcerova"
"Stubborn Denial",1,"Instant",U,"ktk","56",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler;Strict Power 4+: Payoff","",54308,false,false,"James Ryman"
"Lockjaw, Slobbering Teleporter",2,"Legendary Creature - Inhuman Dog Hero",U,"msc","36",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Combat Damage: Glue;Strict Counters: Enabler;Strict Noncreature: Payoff","",150511,false,false,"Thomas Chamberlain-Keen"
"Frostcliff Siege",3,"Enchantment",RU,"tdm","187",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Draw: Enabler;Strict Enchantments: Enabler;Strict Noncreature: Enabler","",139335,false,false,"Dan Murayama Scott"
"Caustic Bronco",2,"Creature - Snake Horse Mount",B,"otj","82",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler","",124075,false,false,"Brent Hollowell"
"Double Jump // Flying Kick",4,"Instant",RU,"tmc","35",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Damage: Enabler;Strict Noncreature: Enabler;Strict Power Matters: Payoff","",147399,false,false,"Kevin Sidharta"
"Wolverine, Best There Is",3,"Legendary Creature - Mutant Berserker Hero",GR,"sld","1737",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Strict Counters: Enabler;Strict Damage: Glue","",-1,false,false,"Victor Adame Minguez"
"Frantic Search",3,"Instant",U,"ulg","32",common,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Discard: Enabler;Strict Draw: Enabler;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler","",12615,false,false,"Jeff Miracola"
"Skyknight Squire",2,"Creature - Cat Scout",W,"fdn","23",rare,null,Not Owned,Non-foil,mainboard,false,,,"Strict Blink: Payoff;Strict Counters: Enabler","",133614,false,false,"Alexander Mokhov"
"Assassin's Trophy",2,"Instant",BG,"grn","152",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",69677,false,false,"Seb McKinnon"
"Expressive Iteration",2,"Sorcery",RU,"stx","186",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler","",88879,false,false,"Anastasia Ovchinnikova"
"Cauldron of Essence",3,"Artifact",BG,"sos","179",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Dies: Enabler;Strict Dies: Payoff;Strict Graveyard Cast: Enabler;Strict Graveyard Types: Enabler;Strict Lifegain: Enabler;Strict Noncreature: Enabler;Strict Reanimator: Enabler;Strict Reanimator: Payoff;Strict Sacrifice: Enabler","",149857,false,false,"Craig J Spearing"
"Bonehoard Dracosaur",5,"Creature - Dinosaur Dragon",R,"lci","134",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Artifacts: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler;Strict Tokens: Enabler","",118080,false,false,"Mark Zug"
"Saheeli, Sublime Artificer",3,"Legendary Planeswalker - Saheeli",RU,"war","234",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Noncreature: Enabler;Strict Noncreature: Payoff;Strict Tokens: Enabler","",72074,false,false,"Wesley Burt"
"Hydroid Krasis",2,"Creature - Jellyfish Hydra Beast",GU,"rna","183",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Counters: Enabler","",71366,false,false,"Jason Felix"
"Mawloc",2,"Creature - Tyranid",GR,"40k","133",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Function: Value;Strict Blink: Payoff","",108738,false,false,"Mathias Kollros"
"Uro, Titan of Nature's Wrath",3,"Legendary Creature - Elder Giant",GU,"thb","229",mythic,null,Not Owned,Non-foil,mainboard,false,,,"Function: Value;Strict Attack: Enabler;Strict Blink: Payoff;Strict Draw: Enabler;Strict Graveyard Cast: Payoff;Strict Landfall: Enabler;Strict Lifegain: Enabler;Strict Power 4+: Enabler;Strict Power Matters: Enabler","",79582,false,false,"Vincent Proce"
"Fractured Identity",5,"Sorcery",UW,"c17","37",rare,null,Not Owned,Non-foil,mainboard,false,,,"Function: Interaction;Strict Noncreature: Enabler","",73846,false,false,"Yongjae Choi"
